score,date,msg_count,word_count,category,topic,kept
12,2025-10-15,8,1322,past project docs,market embeddings,True
11,2025-12-26,6,614,past project docs,nice numbers theory,True
11,2026-01-09,5,702,home,taxes,True
11,2026-03-15,7,431,home,nyc travel,True
11,2026-04-02,4,604,past project docs,llm interface,True
10,2025-09-21,8,519,ongoing project,central logging,True
10,2026-01-02,3,700,home,taxes,True
10,2026-02-22,6,379,past project docs,irc setup,True
10,2026-02-23,5,178,ongoing research,economics of tv,True
10,2026-03-16,4,1437,home,siemens nda,True
10,2026-04-02,3,171,wishlist,orbital mechanics game,True
10,2026-04-02,3,1140,past project docs,llm interface,True
10,2026-04-04,4,395,troubleshooting,nix issues,True
10,2026-04-04,3,295,home,cars,True
10,2024-08-09,3,393,draft writing,,False
9,2023-11-29,1,156,draft writing,,False
9,2024-03-02,3,1126,basic creative prompt,,False
9,2025-10-15,2,1415,basic programming question,,False
9,2025-10-30,1,565,past project docs,peanut gallery,True
9,2026-03-14,2,1101,basic creative prompt,,False
9,2026-03-22,2,376,basic creative prompt,,False
9,2023-10-21,5,870,hawthorns,solarian ship,True
9,2024-03-18,2,165,past project docs,market embeddings,True
8,2023-11-08,3,1568,troubleshooting,iptables issues,True
8,2023-11-09,4,1123,troubleshooting,iptables issues,True
8,2025-01-04,7,402,basic programming question,,False
8,2025-06-28,2,274,past project docs,digest arxiv categories,True
8,2025-08-20,22,4732,past project docs,nice numbers theory,True
8,2025-09-13,1,247,basic programming question,,False
8,2025-10-15,2,408,basic creative prompt,,False
8,2025-11-12,5,5022,past project docs,steam notification,True
8,2025-12-26,3,144,past project docs,nice numbers compute,True
8,2026-01-05,31,5567,past project docs,sam3d,True
8,2026-01-24,1,213,basic research question,,False
8,2026-02-01,1,247,ongoing project,title themes,True
8,2026-02-01,3,2498,hawthorns,solarian language,True
8,2026-02-02,1,786,past project docs,nice numbers theory,True
8,2026-02-23,2,270,home,hair care,True
8,2026-03-11,5,254,past project docs,nice numbers compute,True
8,2026-03-30,3,250,home,kalshi conference finances,True
8,2023-11-18,2,183,draft writing,,False
8,2023-11-08,4,820,troubleshooting,iptables issues,True
8,2023-11-18,3,154,hawthorns,solarian ship,True
7,2023-11-20,2,4047,basic research question,,False
7,2023-12-23,3,342,draft writing,,False
7,2024-12-01,1,137,draft writing,,False
7,2025-01-07,5,881,ongoing project,bridgid raid data recovery,True
7,2025-01-19,9,485,basic programming question,,False
7,2025-01-19,5,137,basic programming question,,False
7,2025-01-31,7,648,basic programming question,,False
7,2025-08-12,9,179,reference notes,blender,True
7,2025-09-18,3,818,troubleshooting,tailscale issues,True
7,2025-09-26,1,64,basic research question,,False
7,2025-10-17,9,1283,basic programming question,,False
7,2025-10-30,5,278,past project docs,peanut gallery,True
7,2025-10-30,3,1193,past project docs,peanut gallery,True
7,2025-11-03,3,148,ongoing research,fan charts,True
7,2026-01-03,7,609,troubleshooting,amcrest issues,True
7,2026-01-14,1,173,basic creative prompt,,False
7,2026-01-16,1,3280,past project docs,nice numbers gpu issues,True
7,2026-02-03,2,150,ongoing research,spaceshipgirl media,True
7,2026-02-11,3,141,ongoing project,waybar config,True
7,2026-03-05,5,196,wishlist,video editor software,True
7,2026-03-17,1,232,home,aws reach out,True
7,2026-03-17,3,148,wishlist,tumblr alternative,True
7,2026-03-19,1,100,basic research question,,False
7,2023-11-08,2,767,troubleshooting,networking issues,True
7,2023-10-11,6,342,basic programming question,,False
7,2024-07-06,11,676,basic programming question,,False
7,2023-10-13,4,500,basic programming question,,False
7,2024-03-25,10,237,past project docs,brier sampling exploration,True
7,2024-01-30,2,317,basic programming question,,False
6,2024-01-01,10,733,basic programming question,,False
6,2024-08-03,9,599,basic programming question,,False
6,2024-07-21,2,363,basic programming question,,False
6,2023-10-19,7,1890,basic programming question,,False
6,2023-10-23,2,449,basic programming question,,False
6,2024-09-06,5,85,troubleshooting,nix issues,True
6,2025-01-19,3,230,draft writing,,False
6,2025-01-28,8,412,basic programming question,,False
6,2025-01-28,6,650,basic programming question,,False
6,2025-01-29,1,113,basic programming question,,False
6,2025-01-29,1,110,basic programming question,,False
6,2025-02-02,1,391,basic programming question,,False
6,2025-06-30,2,716,basic programming question,,False
6,2025-06-30,1,316,basic programming question,,False
6,2025-08-07,1,560,troubleshooting,tailscale issues,True
6,2025-09-11,7,1184,ongoing project,anylist protobuf,True
6,2025-10-30,1,177,basic research question,,False
6,2026-01-10,6,140,ongoing project,dice card game,True
6,2026-01-14,6,237,basic programming question,,False
6,2026-01-28,6,231,past project docs,webcams,True
6,2026-02-17,7,275,ongoing research,small phones,True
6,2026-03-04,2,135,ongoing research,mention markets,True
6,2026-03-07,1,96,basic creative prompt,,False
6,2026-03-13,3,523,basic research question,,False
6,2026-03-18,5,395,wishlist,email desktop client,True
6,2026-03-21,1,1445,troubleshooting,pulseaudio,True
6,2026-03-30,2,118,ongoing research,hair length stats,True
6,2026-03-31,3,270,ongoing project,trant dispenser,True
6,2026-03-31,1,133,wishlist,public prediction dataset,True
6,2023-10-24,2,336,basic programming question,,False
6,2024-01-16,3,119,basic programming question,,False
6,2023-10-19,1,180,basic programming question,,False
6,2024-07-07,3,176,basic programming question,,False
6,2023-10-26,9,918,basic programming question,,False
6,2023-10-20,4,220,basic programming question,,False
6,2024-04-10,1,116,basic programming question,,False
6,2023-11-18,6,234,basic creative prompt,,False
6,2024-08-03,3,157,basic programming question,,False
6,2024-01-03,2,141,basic programming question,,False
6,2023-12-15,6,464,basic programming question,,False
6,2024-01-06,6,485,basic programming question,,False
5,2023-10-30,2,178,basic programming question,,False
5,2024-08-11,4,143,basic programming question,,False
5,2023-11-09,2,149,basic programming question,,False
5,2024-07-06,1,379,basic programming question,,False
5,2024-01-14,2,140,basic programming question,,False
5,2024-03-03,2,110,basic programming question,,False
5,2023-10-07,2,232,basic creative prompt,,False
5,2023-10-13,3,216,basic programming question,,False
5,2023-11-18,1,601,basic creative prompt,,False
5,2024-09-06,3,136,troubleshooting,nix issues,True
5,2024-12-31,2,186,basic programming question,,False
5,2025-01-24,3,248,basic programming question,,False
5,2025-01-26,9,564,basic programming question,,False
5,2025-01-31,1,181,basic programming question,,False
5,2025-02-02,4,1139,basic programming question,,False
5,2025-05-31,2,155,basic creative prompt,,False
5,2025-06-23,2,113,wishlist,discourse flytrap,True
5,2025-08-11,1,54,reference notes,blender,True
5,2025-08-23,1,153,reference notes,cors,True
5,2025-09-04,9,127,reference notes,blockchain,True
5,2025-09-13,3,77,basic programming question,,False
5,2025-10-17,5,302,past project docs,market embeddings,True
5,2025-10-18,1,57,basic research question,,False
5,2025-11-05,1,106,basic programming question,,False
5,2026-03-03,2,157,basic research question,,False
5,2026-03-17,1,84,reference notes,copyright grants,True
5,2026-03-31,1,38,wishlist,pdf editor,True
5,2026-04-04,3,907,basic programming question,,False
5,2023-10-15,1,85,basic programming question,,False
5,2023-10-23,6,734,basic programming question,,False
5,2023-12-01,3,286,basic programming question,,False
5,2024-07-14,3,118,basic programming question,,False
5,2023-10-21,10,133,hawthorns,solarian ship,True
5,2024-07-06,2,177,basic programming question,,False
5,2023-11-08,2,50,basic programming question,,False
5,2023-10-13,5,180,basic programming question,,False
5,2024-07-07,1,231,basic programming question,,False
5,2023-12-11,6,163,basic programming question,,False
5,2023-10-26,4,397,basic programming question,,False
4,2024-08-04,6,107,basic programming question,,False
4,2024-01-31,1,71,basic programming question,,False
4,2024-07-07,1,113,basic programming question,,False
4,2024-04-10,1,57,basic research question,,False
4,2024-01-06,7,142,basic programming question,,False
4,2024-07-30,1,53,basic programming question,,False
4,2024-07-14,3,124,basic programming question,,False
4,2023-11-20,7,101,basic research question,,False
4,2023-10-13,4,195,basic programming question,,False
4,2024-08-03,4,192,basic programming question,,False
4,2023-10-24,1,214,basic programming question,,False
4,2024-01-06,1,214,basic programming question,,False
4,2024-07-14,1,98,basic programming question,,False
4,2023-11-29,3,173,basic programming question,,False
