f,c,ohms,type
-40,-40.00,846.64,1K-375
-38,-38.89,850.92,1K-375
-36,-37.78,855.20,1K-375
-34,-36.67,859.48,1K-375
-32,-35.56,863.76,1K-375
-30,-34.44,868.07,1K-375
-28,-33.33,872.34,1K-375
-26,-32.22,876.62,1K-375
-24,-31.11,880.89,1K-375
-22,-30.00,885.16,1K-375
-20,-28.89,889.43,1K-375
-18,-27.78,893.69,1K-375
-16,-26.67,897.96,1K-375
-14,-25.56,902.22,1K-375
-12,-24.44,906.52,1K-375
-10,-23.33,910.79,1K-375
-8,-22.22,915.04,1K-375
-6,-21.11,919.30,1K-375
-4,-20.00,923.56,1K-375
-2,-18.89,927.81,1K-375
0,-17.78,932.07,1K-375
2,-16.67,936.32,1K-375
4,-15.56,940.57,1K-375
6,-14.44,944.86,1K-375
8,-13.33,949.11,1K-375
10,-12.22,953.35,1K-375
12,-11.11,957.60,1K-375
14,-10.00,961.84,1K-375
16,-8.89,966.08,1K-375
18,-7.78,970.32,1K-375
20,-6.67,974.56,1K-375
22,-5.56,978.80,1K-375
24,-4.44,983.07,1K-375
26,-3.33,987.31,1K-375
28,-2.22,991.54,1K-375
30,-1.11,995.77,1K-375
32,0.00,1000.00,1K-375
34,1.11,1004.23,1K-375
36,2.22,1008.46,1K-375
38,3.33,1012.68,1K-375
40,4.44,1016.90,1K-375
42,5.56,1021.16,1K-375
44,6.67,1025.39,1K-375
46,7.78,1029.61,1K-375
48,8.89,1033.82,1K-375
50,10.00,1038.04,1K-375
52,11.11,1042.25,1K-375
54,12.22,1046.47,1K-375
56,13.33,1050.68,1K-375
58,14.44,1054.89,1K-375
60,15.56,1059.14,1K-375
62,16.67,1063.35,1K-375
64,17.78,1067.55,1K-375
66,18.89,1071.76,1K-375
68,20.00,1075.96,1K-375
70,21.11,1080.16,1K-375
72,22.22,1084.36,1K-375
74,23.33,1088.56,1K-375
76,24.44,1092.76,1K-375
78,25.56,1096.99,1K-375
80,26.67,1101.18,1K-375
82,27.78,1105.38,1K-375
84,28.89,1109.57,1K-375
86,30.00,1113.76,1K-375
88,31.11,1117.95,1K-375
90,32.22,1122.13,1K-375
92,33.33,1126.32,1K-375
94,34.44,1130.50,1K-375
96,35.56,1134.72,1K-375
98,36.67,1138.90,1K-375
100,37.78,1143.08,1K-375
102,38.89,1147.26,1K-375
104,40.00,1151.44,1K-375
106,41.11,1155.61,1K-375
108,42.22,1159.79,1K-375
110,43.33,1163.96,1K-375
112,44.44,1168.13,1K-375
114,45.56,1172.33,1K-375
116,46.67,1176.50,1K-375
118,47.78,1180.67,1K-375
120,48.89,1184.83,1K-375
122,50.00,1189.00,1K-375
124,51.11,1193.16,1K-375
126,52.22,1197.32,1K-375
128,53.33,1201.48,1K-375
130,54.44,1205.63,1K-375
132,55.56,1209.83,1K-375
134,56.67,1213.98,1K-375
136,57.78,1218.13,1K-375
138,58.89,1222.28,1K-375
140,60.00,1226.43,1K-375
142,61.11,1230.58,1K-375
144,62.22,1234.73,1K-375
146,63.33,1238.87,1K-375
148,64.44,1243.02,1K-375
150,65.56,1247.20,1K-375
152,66.67,1251.34,1K-375
154,67.78,1255.48,1K-375
156,68.89,1259.61,1K-375
158,70.00,1263.75,1K-375
160,71.11,1267.89,1K-375
162,72.22,1272.02,1K-375
164,73.33,1276.15,1K-375
166,74.44,1280.28,1K-375
168,75.56,1284.45,1K-375
170,76.67,1288.57,1K-375
172,77.78,1292.70,1K-375
174,78.89,1296.82,1K-375
176,80.00,1300.95,1K-375
178,81.11,1305.07,1K-375
180,82.22,1309.19,1K-375
182,83.33,1313.31,1K-375
184,84.44,1317.42,1K-375
186,85.56,1321.58,1K-375
-40,-40.00,699.28,1K-Ni
-38,-38.89,704.3,1K-Ni
-36,-37.78,709.47,1K-Ni
-34,-36.67,714.58,1K-Ni
-32,-35.56,719.70,1K-Ni
-30,-34.44,724.84,1K-Ni
-28,-33.33,729.98,1K-Ni
-26,-32.22,735.14,1K-Ni
-24,-31.11,740.31,1K-Ni
-22,-30.00,745.49,1K-Ni
-20,-28.89,750.68,1K-Ni
-18,-27.78,755.89,1K-Ni
-16,-26.67,761.11,1K-Ni
-14,-25.56,766.35,1K-Ni
-12,-24.44,771.60,1K-Ni
-10,-23.33,776.86,1K-Ni
-8,-22.22,782.14,1K-Ni
-6,-21.11,787.44,1K-Ni
-4,-20.00,792.75,1K-Ni
-2,-18.89,798.07,1K-Ni
0,-17.78,803.41,1K-Ni
2,-16.67,808.76,1K-Ni
4,-15.56,814.13,1K-Ni
6,-14.44,819.52,1K-Ni
8,-13.33,824.92,1K-Ni
10,-12.22,830.34,1K-Ni
12,-11.11,835.77,1K-Ni
14,-10.00,841.22,1K-Ni
16,-8.89,846.69,1K-Ni
18,-7.78,852.17,1K-Ni
20,-6.67,857.66,1K-Ni
22,-5.56,863.18,1K-Ni
24,-4.44,868.71,1K-Ni
26,-3.33,874.25,1K-Ni
28,-2.22,879.81,1K-Ni
30,-1.11,885.39,1K-Ni
32,0.00,890.98,1K-Ni
34,1.11,896.59,1K-Ni
36,2.22,902.21,1K-Ni
38,3.33,907.85,1K-Ni
40,4.44,913.51,1K-Ni
42,5.56,919.18,1K-Ni
44,6.67,924.87,1K-Ni
46,7.78,930.57,1K-Ni
48,8.89,936.29,1K-Ni
50,10.00,942.02,1K-Ni
52,11.11,947.77,1K-Ni
54,12.22,953.53,1K-Ni
56,13.33,959.31,1K-Ni
58,14.44,965.11,1K-Ni
60,15.56,970.92,1K-Ni
62,16.67,976.74,1K-Ni
64,17.78,982.59,1K-Ni
66,18.89,988.44,1K-Ni
68,20.00,994.31,1K-Ni
70,21.11,1000.20,1K-Ni
72,22.22,1006.10,1K-Ni
74,23.33,1012.02,1K-Ni
76,24.44,1017.95,1K-Ni
78,25.56,1023.89,1K-Ni
80,26.67,1029.86,1K-Ni
82,27.78,1035.83,1K-Ni
84,28.89,1041.82,1K-Ni
86,30.00,1047.83,1K-Ni
88,31.11,1053.85,1K-Ni
90,32.22,1059.89,1K-Ni
92,33.33,1065.94,1K-Ni
94,34.44,1072.00,1K-Ni
96,35.56,1078.08,1K-Ni
98,36.67,1084.18,1K-Ni
100,37.78,1090.29,1K-Ni
102,38.89,1096.42,1K-Ni
104,40.00,1102.56,1K-Ni
106,41.11,1108.71,1K-Ni
108,42.22,1114.89,1K-Ni
110,43.33,1121.07,1K-Ni
112,44.44,1127.27,1K-Ni
114,45.56,1133.49,1K-Ni
116,46.67,1139.72,1K-Ni
118,47.78,1145.97,1K-Ni
120,48.89,1152.24,1K-Ni
